,DATE,AVG_TXN,FEES
40,2021-10-11 00:00:00.000,133947,1035.162392959
41,2021-10-12 00:00:00.000,129357,1049.306657791
42,2021-10-13 00:00:00.000,142753,993.763366366
43,2021-10-14 00:00:00.000,147515,1154.868140292
44,2021-10-15 00:00:00.000,161300,2001.379977258
45,2021-10-16 00:00:00.000,124769,951.088963047
46,2021-10-17 00:00:00.000,119765,965.989581593
47,2021-10-18 00:00:00.000,187402,2710.807489065
48,2021-10-19 00:00:00.000,173797,1413.757078973
49,2021-10-20 00:00:00.000,148282,1299.347329133
50,2021-10-21 00:00:00.000,137354,1229.549590637
51,2021-10-22 00:00:00.000,145279,1199.156899213
52,2021-10-23 00:00:00.000,137012,1122.649580667
53,2021-10-24 00:00:00.000,138505,1052.078754492
54,2021-10-25 00:00:00.000,174502,1389.028913985
55,2021-10-26 00:00:00.000,165081,1347.327061556
56,2021-10-27 00:00:00.000,174316,1785.32014066
57,2021-10-28 00:00:00.000,192959,1969.391163663
58,2021-10-29 00:00:00.000,272984,2586.833107796
59,2021-10-30 00:00:00.000,160535,1212.845682344
60,2021-10-31 00:00:00.000,141776,1278.714150464
61,2021-11-01 00:00:00.000,170895,1371.806688998
62,2021-11-02 00:00:00.000,174885,1314.126241056
63,2021-11-03 00:00:00.000,173048,1405.726476363
64,2021-11-04 00:00:00.000,141767,1183.833845786
65,2021-11-05 00:00:00.000,140516,1076.943056285
66,2021-11-06 00:00:00.000,116405,973.552207974
67,2021-11-07 00:00:00.000,118861,976.252558174
68,2021-11-08 00:00:00.000,187065,1465.981078625
69,2021-11-09 00:00:00.000,147318,1178.427814774
70,2021-11-10 00:00:00.000,177114,1701.066636326
71,2021-11-11 00:00:00.000,169816,2241.959597475
72,2021-11-12 00:00:00.000,165564,1747.560401459
73,2021-11-13 00:00:00.000,135578,1587.383497984
74,2021-11-14 00:00:00.000,140065,1746.302352426
75,2021-11-15 00:00:00.000,167305,1811.712268611
76,2021-11-16 00:00:00.000,174669,2599.015996435
77,2021-11-17 00:00:00.000,151723,1925.186556774
78,2021-11-18 00:00:00.000,168158,2084.267782507
79,2021-11-19 00:00:00.000,157746,1780.046753665
80,2021-11-20 00:00:00.000,140885,1318.657510466
81,2021-11-21 00:00:00.000,138881,1525.835287121
82,2021-11-22 00:00:00.000,163896,1814.69948443
83,2021-11-23 00:00:00.000,160407,1908.955935748
84,2021-11-24 00:00:00.000,173950,1929.630853038
85,2021-11-25 00:00:00.000,187459,1939.18497121
86,2021-11-26 00:00:00.000,199506,3254.705969723
87,2021-11-27 00:00:00.000,163184,2095.284894749
88,2021-11-28 00:00:00.000,164638,2175.144180829
89,2021-11-29 00:00:00.000,173174,1998.285336827
90,2021-11-30 00:00:00.000,176132,2679.608010853
91,2021-12-01 00:00:00.000,158208,2462.002378843
92,2021-12-02 00:00:00.000,172604,2742.384591707
93,2021-12-03 00:00:00.000,163473,2843.050095681
94,2021-12-04 00:00:00.000,181930,5234.946377659
95,2021-12-05 00:00:00.000,113121,1770.088598931
96,2021-12-06 00:00:00.000,141959,2355.388168217
97,2021-12-07 00:00:00.000,148872,1935.260484832
98,2021-12-08 00:00:00.000,140203,2456.873240656
99,2021-12-09 00:00:00.000,165471,2408.554857097
100,2021-12-10 00:00:00.000,156143,2220.44572251
101,2021-12-11 00:00:00.000,133812,1464.645420039
102,2021-12-12 00:00:00.000,129202,1377.723283851
103,2021-12-13 00:00:00.000,181878,3039.002156237
104,2021-12-14 00:00:00.000,145714,1718.847969296
105,2021-12-15 00:00:00.000,157796,2616.740163384
106,2021-12-16 00:00:00.000,134359,2347.156703211
107,2021-12-17 00:00:00.000,128608,1717.492834016
108,2021-12-18 00:00:00.000,119097,1432.677017157
109,2021-12-19 00:00:00.000,157909,2549.372087315
110,2021-12-20 00:00:00.000,135195,1445.881206747
111,2021-12-21 00:00:00.000,129500,1337.568035445
112,2021-12-22 00:00:00.000,141363,1670.854113023
113,2021-12-23 00:00:00.000,141412,1549.341076844
114,2021-12-24 00:00:00.000,141975,1881.920405856
115,2021-12-25 00:00:00.000,106246,1217.76238215
116,2021-12-26 00:00:00.000,119620,1284.818946993
117,2021-12-27 00:00:00.000,133300,1469.32802225
118,2021-12-28 00:00:00.000,149894,2019.519192441
119,2021-12-29 00:00:00.000,142657,1980.979352887
120,2021-12-30 00:00:00.000,146830,2000.773410711
121,2021-12-31 00:00:00.000,169198,3347.794876725
122,2022-01-01 00:00:00.000,168193,3114.524481896
123,2022-01-02 00:00:00.000,170613,2138.480400909
124,2022-01-03 00:00:00.000,189017,4083.14121073
125,2022-01-04 00:00:00.000,162136,10485.406787906
126,2022-01-05 00:00:00.000,148507,15739.309571777
127,2022-01-06 00:00:00.000,151828,13291.391081826
128,2022-01-07 00:00:00.000,151313,11119.294375974
129,2022-01-08 00:00:00.000,119205,3696.228286312
130,2022-01-09 00:00:00.000,118104,1656.716209062
131,2022-01-10 00:00:00.000,143003,2688.718671649
132,2022-01-11 00:00:00.000,132496,1388.490285577
133,2022-01-12 00:00:00.000,173276,1715.066935524
134,2022-01-13 00:00:00.000,144624,1850.185393578
135,2022-01-14 00:00:00.000,132411,1814.703150823
136,2022-01-15 00:00:00.000,122181,1726.09902489
137,2022-01-16 00:00:00.000,131619,1789.324619199
138,2022-01-17 00:00:00.000,138278,2881.356398039
139,2022-01-18 00:00:00.000,102272,4066.118325712
140,2022-01-19 00:00:00.000,94636,5174.234178839
141,2022-01-20 00:00:00.000,110749,4776.6374123
142,2022-01-21 00:00:00.000,117431,12119.303336636
143,2022-01-22 00:00:00.000,119321,9408.668157501
144,2022-01-23 00:00:00.000,119392,2006.815836099
145,2022-01-24 00:00:00.000,122005,6684.518354133
146,2022-01-25 00:00:00.000,119813,2101.776067839
147,2022-01-26 00:00:00.000,128551,3190.130279725
148,2022-01-27 00:00:00.000,135381,1398.14764776
149,2022-01-28 00:00:00.000,129733,1235.536213262
150,2022-01-29 00:00:00.000,122473,961.575399159
151,2022-01-30 00:00:00.000,118219,846.819022116
152,2022-01-31 00:00:00.000,126697,1070.870090559
153,2022-02-01 00:00:00.000,133387,1168.978084353
154,2022-02-02 00:00:00.000,138886,2306.199296499
155,2022-02-03 00:00:00.000,154936,1203.280802876
156,2022-02-04 00:00:00.000,146815,1568.129402191
157,2022-02-05 00:00:00.000,126613,968.497129208
158,2022-02-06 00:00:00.000,128010,988.663503071
159,2022-02-07 00:00:00.000,145518,1406.149712067
160,2022-02-08 00:00:00.000,169219,1893.363448315
161,2022-02-09 00:00:00.000,145795,1345.1178056
162,2022-02-10 00:00:00.000,156019,1879.190475915
163,2022-02-11 00:00:00.000,143269,1553.278599775
164,2022-02-12 00:00:00.000,133891,1934.082361144
165,2022-02-13 00:00:00.000,136153,1649.712329369
166,2022-02-14 00:00:00.000,145738,4478.695308424
167,2022-02-15 00:00:00.000,114649,1160.708716651
168,2022-02-16 00:00:00.000,134518,1682.949029275
169,2022-02-17 00:00:00.000,115811,1274.94992316
170,2022-02-18 00:00:00.000,109155,1307.713095723
171,2022-02-19 00:00:00.000,114487,1101.953543432
172,2022-02-20 00:00:00.000,107383,1090.46495544
173,2022-02-21 00:00:00.000,114396,1294.515841312
174,2022-02-22 00:00:00.000,116021,1575.103228059
175,2022-02-23 00:00:00.000,100678,1049.910213624
176,2022-02-24 00:00:00.000,118496,2571.839350873
177,2022-02-25 00:00:00.000,103641,1258.669286203
178,2022-02-26 00:00:00.000,87972,1066.735516992
179,2022-02-27 00:00:00.000,103851,1337.787721201
180,2022-02-28 00:00:00.000,115999,1533.298711373
181,2022-03-01 00:00:00.000,129829,1516.591499383
182,2022-03-02 00:00:00.000,119999,1518.91663942
183,2022-03-03 00:00:00.000,111380,1337.400299061
184,2022-03-04 00:00:00.000,127777,1465.064455848
185,2022-03-05 00:00:00.000,105833,1117.78129484
186,2022-03-06 00:00:00.000,114046,1330.190122365
187,2022-03-07 00:00:00.000,118586,1445.820854216
188,2022-03-08 00:00:00.000,123307,1596.035923246
189,2022-03-09 00:00:00.000,125888,1413.198118588
190,2022-03-10 00:00:00.000,108883,1393.089726336
191,2022-03-11 00:00:00.000,97956,1128.369545825
192,2022-03-12 00:00:00.000,103450,1097.199310226
193,2022-03-13 00:00:00.000,98387,1072.950315444
194,2022-03-14 00:00:00.000,110196,1210.03541168
195,2022-03-15 00:00:00.000,115552,1413.133247187
196,2022-03-16 00:00:00.000,123567,1753.539720082
197,2022-03-17 00:00:00.000,120547,1306.759304623
198,2022-03-18 00:00:00.000,122320,1210.187897303
199,2022-03-19 00:00:00.000,120925,1201.941018021
200,2022-03-20 00:00:00.000,118445,1276.119828605
201,2022-03-21 00:00:00.000,117849,1220.322056858
202,2022-03-22 00:00:00.000,133077,1437.97527766
203,2022-03-23 00:00:00.000,130776,1326.942404668
204,2022-03-24 00:00:00.000,134441,1458.010106257
205,2022-03-25 00:00:00.000,126306,1206.676806808
206,2022-03-26 00:00:00.000,107826,1104.108461615
207,2022-03-27 00:00:00.000,116734,1143.321501057
208,2022-03-28 00:00:00.000,130052,1249.671898759
209,2022-03-29 00:00:00.000,128105,1324.357136509
210,2022-03-30 00:00:00.000,122500,1214.767045621
211,2022-03-31 00:00:00.000,127497,1588.817728734
212,2022-04-01 00:00:00.000,125577,1327.685153392
213,2022-04-02 00:00:00.000,125072,1230.943765952
214,2022-04-03 00:00:00.000,128068,1141.716857994
215,2022-04-04 00:00:00.000,134256,1408.613645826
216,2022-04-05 00:00:00.000,132910,1254.808876412
217,2022-04-06 00:00:00.000,134830,1685.039482584
218,2022-04-07 00:00:00.000,132732,1490.950088946
219,2022-04-08 00:00:00.000,136444,1494.569346192
220,2022-04-09 00:00:00.000,120145,1076.624882551
221,2022-04-10 00:00:00.000,121085,1127.166559087
222,2022-04-11 00:00:00.000,137082,1625.690972807
223,2022-04-12 00:00:00.000,133630,1464.422621589
224,2022-04-13 00:00:00.000,129853,1499.672902955
225,2022-04-14 00:00:00.000,135481,1450.572293034
226,2022-04-15 00:00:00.000,142410,1826.276319385
227,2022-04-16 00:00:00.000,140326,1553.48624365
228,2022-04-17 00:00:00.000,138826,1431.143326086
229,2022-04-18 00:00:00.000,144522,2205.554404776
230,2022-04-19 00:00:00.000,129422,1858.294010431
231,2022-04-20 00:00:00.000,136591,1900.068681733
232,2022-04-21 00:00:00.000,137193,2204.059924974
233,2022-04-22 00:00:00.000,138470,1802.08189543
234,2022-04-23 00:00:00.000,122764,1410.909584169
235,2022-04-24 00:00:00.000,130546,1557.757250109
236,2022-04-25 00:00:00.000,144581,2888.056507115
237,2022-04-26 00:00:00.000,136317,1914.784070782
238,2022-04-27 00:00:00.000,143291,2081.461500827
239,2022-04-28 00:00:00.000,142734,2183.029336875
240,2022-04-29 00:00:00.000,160827,2151.38327955
241,2022-04-30 00:00:00.000,153556,2846.028638501
242,2022-05-01 00:00:00.000,132548,1868.731550175
243,2022-05-02 00:00:00.000,128470,1701.850305524
244,2022-05-03 00:00:00.000,123577,1981.020984479
245,2022-05-04 00:00:00.000,136635,2132.340968016
246,2022-05-05 00:00:00.000,145814,2823.974748282
247,2022-05-06 00:00:00.000,142056,3253.00085885
248,2022-05-07 00:00:00.000,129005,2295.843322372
249,2022-05-08 00:00:00.000,142601,2333.690337249
250,2022-05-09 00:00:00.000,173567,11545.943371217
251,2022-05-10 00:00:00.000,138968,7261.481807275
252,2022-05-11 00:00:00.000,155892,27104.928714443
253,2022-05-12 00:00:00.000,168934,24871.11846655
254,2022-05-13 00:00:00.000,167917,4200.217736371
255,2022-05-14 00:00:00.000,141468,2138.718567062
256,2022-05-15 00:00:00.000,116805,1701.022033239
257,2022-05-16 00:00:00.000,136037,2520.576532921
258,2022-05-17 00:00:00.000,115382,1771.738623019
259,2022-05-18 00:00:00.000,121687,2490.291730658
260,2022-05-19 00:00:00.000,120808,2052.752154103
261,2022-05-20 00:00:00.000,118082,1740.085694999
262,2022-05-21 00:00:00.000,106617,1394.84131629
263,2022-05-22 00:00:00.000,104443,1297.961841328
264,2022-05-23 00:00:00.000,117399,2341.234748141
265,2022-05-24 00:00:00.000,113965,1640.070830519
266,2022-05-25 00:00:00.000,123343,1777.263319073
267,2022-05-26 00:00:00.000,125874,3154.808282976
268,2022-05-27 00:00:00.000,147740,3288.50915001
269,2022-05-28 00:00:00.000,115370,1439.96317501
270,2022-05-29 00:00:00.000,99939,1118.945639743
271,2022-05-30 00:00:00.000,114874,1842.880821587
272,2022-05-31 00:00:00.000,117823,1888.861699634
273,2022-06-01 00:00:00.000,108934,1720.117195275
274,2022-06-02 00:00:00.000,2112,25.627360175
275,2022-06-03 00:00:00.000,2200,23.126656778
276,2022-06-04 00:00:00.000,1763,19.192369435
277,2022-06-05 00:00:00.000,43251,532.085731845
278,2022-06-06 00:00:00.000,116434,1507.367365883
279,2022-06-07 00:00:00.000,85666,1488.444256688
280,2022-06-08 00:00:00.000,34137,479.323000047
281,2022-06-09 00:00:00.000,103567,1277.995266528
282,2022-06-10 00:00:00.000,125859,4695.050843262
283,2022-06-11 00:00:00.000,128884,4259.325646739
284,2022-06-12 00:00:00.000,127184,3541.26951913
285,2022-06-13 00:00:00.000,159138,26387.960716691
286,2022-06-14 00:00:00.000,149438,10421.573292918
287,2022-06-15 00:00:00.000,146448,12820.820271078
288,2022-06-16 00:00:00.000,129077,2538.665927112
289,2022-06-17 00:00:00.000,113331,1857.484338018
290,2022-06-18 00:00:00.000,141685,13938.395869206
291,2022-06-19 00:00:00.000,124619,3148.259811443
292,2022-06-20 00:00:00.000,127975,3391.61775322
293,2022-06-21 00:00:00.000,128041,2597.494287798
294,2022-06-22 00:00:00.000,123583,2110.73804858
295,2022-06-23 00:00:00.000,128998,2720.372174826
296,2022-06-24 00:00:00.000,134238,3057.229225312
297,2022-06-25 00:00:00.000,112553,2218.800131757
298,2022-06-26 00:00:00.000,107226,1744.346480811
299,2022-06-27 00:00:00.000,124278,2625.818938809
300,2022-06-28 00:00:00.000,118195,2042.829913611
301,2022-06-29 00:00:00.000,128007,2938.203230608
302,2022-06-30 00:00:00.000,116733,2940.747276272
303,2022-07-01 00:00:00.000,8294,206.529028567
304,2022-07-02 00:00:00.000,7866,148.377485911
305,2022-07-03 00:00:00.000,10433,223.398791346
306,2022-07-04 00:00:00.000,7186,180.430016382
307,2022-07-05 00:00:00.000,5893,120.985230005
308,2022-07-06 00:00:00.000,114071,2042.3575771
309,2022-07-07 00:00:00.000,106687,1647.289132019
310,2022-07-08 00:00:00.000,116225,2270.608466859
311,2022-07-09 00:00:00.000,92505,1315.793745245
312,2022-07-10 00:00:00.000,90134,1386.388855475
313,2022-07-11 00:00:00.000,106229,1885.612277593
314,2022-07-12 00:00:00.000,117184,1932.077540435
315,2022-07-13 00:00:00.000,113500,4128.985093878
316,2022-07-14 00:00:00.000,115782,3636.130353943
317,2022-07-15 00:00:00.000,126549,3174.460221166
318,2022-07-16 00:00:00.000,104043,3221.286578946
319,2022-07-17 00:00:00.000,112283,2408.590836723
320,2022-07-18 00:00:00.000,130359,4933.769176065
321,2022-07-19 00:00:00.000,121093,4977.348581184
322,2022-07-20 00:00:00.000,119743,3297.277382625
323,2022-07-21 00:00:00.000,121965,2914.73313248
324,2022-07-22 00:00:00.000,119225,2064.428149547
325,2022-07-23 00:00:00.000,111758,1635.991819937
326,2022-07-24 00:00:00.000,105660,1973.05406815
327,2022-07-25 00:00:00.000,124856,2921.543806452
328,2022-07-26 00:00:00.000,119873,3443.162275099
329,2022-07-27 00:00:00.000,117255,3471.496647699
330,2022-07-28 00:00:00.000,121664,3420.760851741
331,2022-07-29 00:00:00.000,126254,3022.143068343
332,2022-07-30 00:00:00.000,120127,1968.676388168
333,2022-07-31 00:00:00.000,114550,2044.834937203
334,2022-08-01 00:00:00.000,128508,2036.005259363
335,2022-08-02 00:00:00.000,106645,5764.907155311
336,2022-08-03 00:00:00.000,116299,2426.651439845
337,2022-08-04 00:00:00.000,110978,1671.028441392
